activation,lemma,present_phones,past_phones
4.498625755310059,predestine,P R IY D EH S T AH N,P R IY D EH S T AH N D
3.9262008666992188,credential,K R IH D EH N SH AH L,K R AH D EH N SH AH L D
3.221428394317627,trademark,T R EY D M AA R K,T R EY D M AA R K T
3.0533275604248047,predict,P R IH D IH K T,P R IH D IH K T IH D
2.965048313140869,congratulate,K AH N G R AE CH AH L EY T,K AH N G R AE CH AH L EY T IH D
2.658891201019287,extrapolate,EH K S T R AE P AH L EY T,EH K S T R AE P AH L EY T IH D
2.5092520713806152,predispose,P R IY D IH S P OW Z,P R IY D IH S P OW Z D
2.422664165496826,quadruple,K W AA D R UW P AH L,K W AA D R UW P AH L D
2.135408401489258,predominate,P R IH D AA M AH N EY T,P R IH D AA M AH N EY T IH D
2.0927624702453613,prosecute,P R AA S AH K Y UW T,P R AA S IH K Y UW T IH D
2.058842658996582,broadcast,B R AO D K AE S T,B R AO D K AE S T
2.027308940887451,criticize,K R IH T IH S AY Z,K R IH T AH S AY Z D
2.0115461349487305,matriculate,M AH T R IH K Y AH L EY T,M AH T R IH K Y AH L EY T AH D
2.0047216415405273,extrovert,EH K S T R AH V ER T,EH K S T R AH V ER T IH D
1.9537938833236694,reiterate,R IY IH T ER EY T,R IY IH T ER EY T IH D
1.9318615198135376,procrastinate,P R AH K R AE S T AH N EY T,P R AH K R AE S T AH N EY T IH D
1.9247430562973022,reformulate,R IY F AO R M Y AH L EY T,R IY F AO R M Y AH L EY T IH D
1.8861874341964722,consist,K AH N S IH S T,K AH N S IH S T AH D
1.8732577562332153,shortchange,SH AO R T CH EY N JH,SH AO R T CH EY N JH D
1.6832832098007202,pontificate,P AA N T IH F AH K EY T,P AA N T IH F AH K EY T IH D
1.6699241399765015,barbecue,B AA R B IH K Y UW,B AA R B IH K Y UW D
1.6699241399765015,barbeque,B AA R B IH K Y UW,B AA R B IH K Y UW D
1.5585235357284546,lambaste,L AE M B AE S T,L AE M B AE S T IH D
1.5566519498825073,predetermine,P R IY D IH T ER M AH N,P R IY D IY T ER M IH N D
1.5227888822555542,crisscross,K R IH S K R AO S,K R IH S K R AO S T
1.4735348224639893,communicate,K AH M Y UW N AH K EY T,K AH M Y UW N AH K EY T IH D
1.405147671699524,ostracize,AO S T R AH S AY Z,AO S T R AH S AY Z D
1.4047707319259644,prepackage,P R IY P AE K AH JH,P R IY P AE K AH JH D
1.3301361799240112,extract,EH K S T R AE K T,EH K S T R AE K T IH D
1.3291220664978027,institutionalize,IH N S T IH T UW SH AH N AH L AY Z,IH N S T IH T UW SH AH N AH L AY Z D
1.3112562894821167,prognosticate,P R AA G N AA S T AH K EY T,P R AA G N AA S T AH K EY T IH D
1.2700800895690918,traumatize,T R AO M AH T AY Z,T R AO M AH T AY Z D
1.26890230178833,convict,K AA N V IH K T,K AH N V IH K T AH D
1.236980676651001,participate,P AA R T IH S AH P EY T,P AA R T IH S AH P EY T IH D
1.235336422920227,project,P R AA JH EH K T,P R AH JH EH K T AH D
1.2263678312301636,recalculate,R IY K AE L K Y AH L EY T,R IY K AE L K Y AH L EY T IH D
1.2212945222854614,program,P R OW G R AE M,P R OW G R AE M D
1.2212945222854614,programme,P R OW G R AE M,P R OW G R AE M D
1.1784087419509888,predicate,P R EH D AH K EY T,P R EH D AH K EY T IH D
1.1722575426101685,produce,P R AH D UW S,P R AH D UW S T
1.1653841733932495,officiate,AH F IH SH IY EY T,AH F IH SH IY EY T AH D
1.1645550727844238,patronize,P EY T R AH N AY Z,P EY T R AH N AY Z D
1.1606711149215698,gravitate,G R AE V IH T EY T,G R AE V AH T EY T IH D
1.1597117185592651,compartmentalize,K AH M P AA R T M EH N T AH L AY Z,K AA M P AA R T M EH N T AH L AY Z D
1.135862946510315,institute,IH N S T AH T UW T,IH N S T AH T UW T IH D
1.1336873769760132,intensify,IH N T EH N S AH F AY,IH N T EH N S AH F AY D
1.131712555885315,expedite,EH K S P IH D AY T,EH K S P IH D AY T IH D
1.1251088380813599,irradiate,IH R EY D IY EY T,IH R EY D IY EY T IH D
1.1090787649154663,postmark,P OW S T M AA R K,P OW S T M AA R K T
1.1083968877792358,critique,K R AH T IY K,K R IH T IY K T
1.1037577390670776,principle,P R IH N S AH P AH L,P R IH N S AH P AH L D
1.0578421354293823,prejudice,P R EH JH AH D IH S,P R EH JH AH D AH S T
1.0446534156799316,adjudicate,AH JH UW D IH K EY T,AH JH UW D AH K EY T IH D
1.0168735980987549,reassemble,R IY AH S EH M B AH L,R IY AH S EH M B AH L D
1.0119212865829468,instantiate,IH N S T AE N SH IY EY T,IH N S T AE N SH IY EY T AH D
0.9901448488235474,prioritize,P R AY AO R AH T AY Z,P R AY AO R AH T AY Z D
0.9585984945297241,glaciate,G L EY SH IY EY T,G L EY SH IY EY T AH D
0.9550654888153076,compact,K AA M P AE K T,K AH M P AE K T IH D
0.9306412935256958,privatize,P R IH V AH T AY Z,P R AY V AH T AY Z D
0.9253460168838501,prevaricate,P R AH V EH R AH K EY T,P R AH V EH R AH K EY T IH D
0.9246101379394531,rekindle,R IY K IH N D AH L,R IY K IH N D AH L D
0.8940119743347168,computerize,K AH M P Y UW T ER AY Z,K AH M P Y UW T ER AY Z D
0.8689068555831909,readmit,R IY AH D M IH T,R IY AH D M IH T IH D
0.8388333320617676,editorialize,EH D AH T AO R IY AH L AY Z,EH D AH T AO R IY AH L AY Z D
0.8374089002609253,precipitate,P R IH S IH P IH T EY T,P R IH S IH P IH T EY T IH D
0.8250621557235718,exonerate,IH G Z AA N ER EY T,IH G Z AA N ER EY T IH D
