activation,lemma,present_phones,past_phones
3.3480300903320312,starve,S T AA R V,S T AA R V D
3.0245161056518555,stock,S T AA K,S T AA K T
3.018185615539551,dramatize,D R AA M AH T AY Z,D R AE M AH T AY Z D
3.0161571502685547,clock,K L AA K,K L AA K T
3.0146045684814453,stop,S T AA P,S T AA P T
2.991739273071289,crop,K R AA P,K R AA P T
2.987422466278076,scar,S K AA R,S K AA R D
2.9815526008605957,prop,P R AA P,P R AA P T
2.9781885147094727,start,S T AA R T,S T AA R T IH D
2.9666519165039062,allot,AH L AA T,AH L AA T IH D
2.938136577606201,plop,P L AA P,P L AA P T
2.935826301574707,slot,S L AA T,S L AA T IH D
2.93239688873291,smart,S M AA R T,S M AA R T IH D
2.928837776184082,prod,P R AA D,P R AA D IH D
2.9286136627197266,star,S T AA R,S T AA R D
2.9274163246154785,starch,S T AA R CH,S T AA R CH T
2.9261183738708496,plot,P L AA T,P L AA T IH D
2.924696445465088,blockade,B L AA K EY D,B L AA K EY D IH D
2.9185004234313965,swap,S W AA P,S W AA P T
2.9103379249572754,drop,D R AA P,D R AA P T
2.9100451469421387,snarl,S N AA R L,S N AA R AH L D
2.9045748710632324,scotch,S K AA CH,S K AA CH T
2.9031620025634766,barrage,B ER AA ZH,B ER AA ZH D
2.90120267868042,blot,B L AA T,B L AA T AH D
2.895099639892578,plod,P L AA D,P L AA D IH D
2.8887619972229004,spark,S P AA R K,S P AA R K T
2.885930061340332,block,B L AA K,B L AA K T
2.8761091232299805,bronze,B R AA N Z,B R AA N Z D
2.8709335327148438,clot,K L AA T,K L AA T AH D
2.8689160346984863,spot,S P AA T,S P AA T IH D
2.8633251190185547,flop,F L AA P,F L AA P T
2.8561935424804688,trot,T R AA T,T R AA T IH D
2.8537940979003906,spar,S P AA R,S P AA R D
2.829741954803467,anonymize,AH N AA N AH M AY Z,AH N AA N AH M AY Z D
2.8258509635925293,startle,S T AA R T AH L,S T AA R T AH L D
2.815035820007324,flock,F L AA K,F L AA K T
2.8139562606811523,promise,P R AA M AH S,P R AA M AH S T
2.8055973052978516,blotch,B L AA T CH,B L AA T CH T
2.795480728149414,swallow,S W AA L OW,S W AA L OW D
2.7715611457824707,spotlight,S P AA T L AY T,S P AA T L AY T IH D
2.76983642578125,cooperate,K OW AA P ER EY T,K OW AA P ER EY T AH D
2.7685842514038086,stomp,S T AA M P,S T AA M P T
2.7608275413513184,clog,K L AA G,K L AO G D
2.758305549621582,process,P R AA S EH S,P R AA S EH S T
2.7520270347595215,apologise,AH P AA L AH JH AY Z,AH P AA L AH JH AY Z D
2.7520270347595215,apologize,AH P AA L AH JH AY Z,AH P AA L AH JH AY Z D
2.725891590118408,slog,S L AA G,S L AA G D
2.7108168601989746,proffer,P R AA F ER,P R AA F ER D
2.700623035430908,swamp,S W AA M P,S W AO M P T
2.6999592781066895,stockpile,S T AA K P AY L,S T AA K P AY L D
2.699552536010742,sparkle,S P AA R K AH L,S P AA R K AH L D
2.688447952270508,swathe,S W AA DH,S W AA DH D
2.6853017807006836,swat,S W AA T,S W AA T IH D
2.682105541229248,nuance,N UW AA N S,N UW AA N S T
2.671271800994873,coif,K W AA F,K OY F T
2.671271800994873,quaff,K W AA F,K W AA F AH D
2.6656551361083984,swatch,S W AA CH,S W AA CH T
2.661372661590576,progress,P R AA G R EH S,P R AH G R EH S T
2.64454984664917,propagate,P R AA P AH G EY T,P R AA P AH G EY T IH D
2.6309728622436523,corroborate,K ER AA B ER EY T,K ER AA B ER EY T IH D
2.6134324073791504,abolish,AH B AA L IH SH,AH B AA L IH SH T
2.577582836151123,project,P R AA JH EH K T,P R AH JH EH K T AH D
2.5178656578063965,autopsy,AO T AA P S IY,AO T AA P S IY D
2.51102876663208,prompt,P R AA M P T,P R AA M P T IH D
2.5098209381103516,evolve,IH V AA L V,IH V AA L V D
2.472378730773926,accommodate,AH K AA M AH D EY T,AH K AA M AH D EY T IH D
2.363675117492676,chronicle,K R AA N IH K AH L,K R AA N IH K AH L D
2.326479434967041,qualify,K W AA L AH F AY,K W AA L AH F AY D
2.3112597465515137,quantify,K W AA N T IH F AY,K W AA N T IH F AY D
2.2680416107177734,coauthor,K OW AA TH ER,K OW AA TH ER D
2.2017064094543457,accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
2.0609331130981445,throttle,TH R AA T AH L,TH R AA T AH L D
2.0563149452209473,prognosticate,P R AA G N AA S T AH K EY T,P R AA G N AA S T AH K EY T IH D
2.0232505798339844,closet,K L AA Z AH T,K L AA Z AH T IH D
2.0157270431518555,inoculate,IH N AA K Y AH L EY T,IH N AA K Y AH L EY T IH D
1.8990460634231567,prosecute,P R AA S AH K Y UW T,P R AA S IH K Y UW T IH D
1.7975891828536987,quadruple,K W AA D R UW P AH L,K W AA D R UW P AH L D
1.786004662513733,proselytize,P R AA S AH L AH T AY Z,P R AA S AH L AH T AY Z D
1.6040736436843872,coarticulate,K OW AA R T IH K Y UW L EY T,K OW AA R T IH K Y UW L EY T AH D
0.24778985977172852,permutate,P ER M Y UW T EY T,P ER M Y UW T EY T IH D
0.18789097666740417,profess,P R AH F EH S,P R AH F EH S T
0.08579957485198975,backlist,B AE K L IH S T,B AE K L IH S T IH D
0.06727592647075653,preface,P R EH F AH S,P R EH F AH S T
0.06421113014221191,furnish,F ER N IH SH,F ER N IH SH T
0.03735414147377014,truck,T R AH K,T R AH K T
