activation,lemma,present_phones,past_phones
4.7393412590026855,eulogize,Y UW L AH JH AY Z,Y UW L AH JH AY Z D
4.346138000488281,localize,L OW K AH L AY Z,L OW K AH L AY Z D
4.05795431137085,yuppify,Y AH P IH F AY,Y AH P IH F AY D
3.762907028198242,occupy,AA K Y AH P AY,AA K Y AH P AY D
3.452531337738037,mobilize,M OW B AH L AY Z,M OW B AH L AY Z D
3.4269189834594727,summons,S AH M AH N Z,S AH M AH N Z D
3.309162139892578,notify,N OW T AH F AY,N OW T AH F AY D
3.3074092864990234,supervise,S UW P ER V AY Z,S UW P ER V AY Z D
3.291027069091797,renovate,R EH N AH V EY T,R EH N AH V EY T IH D
3.2219505310058594,hyphenate,HH AY F AH N EY T,HH AY F AH N EY T IH D
3.038601875305176,total,T OW T AH L,T OW T AH L D
3.0365610122680664,absorb,AH B Z AO R B,AH B Z AO R B D
3.0029046535491943,knuckle,N AH K AH L,N AH K AH L D
2.977745532989502,utilize,Y UW T AH L AY Z,Y UW T AH L AY Z D
2.974604606628418,laminate,L AE M AH N AH T,L AE M AH N EY T AH D
2.956106662750244,exercise,EH K S ER S AY Z,EH K S ER S AY Z D
2.92299222946167,internationalize,IH N T ER N AE SH AH N AH L AY Z,IH N T ER N AE SH AH N AH L AY Z D
2.8664333820343018,ruminate,R UW M IH N EY T,R UW M IH N EY T IH D
2.8390378952026367,unhinge,AH N HH IH N JH,AH N HH IH N JH D
2.7108287811279297,titillate,T IH T AH L EY T,T IH T AH L EY T IH D
2.679853916168213,sizzle,S IH Z AH L,S IH Z AH L D
2.6676225662231445,unify,Y UW N AH F AY,Y UW N AH F AY D
2.6525490283966064,engine,EH N JH AH N,EH N JH AH N D
2.593524932861328,cycle,S AY K AH L,S AY K AH L D
2.509831666946411,familiarize,F AH M IH L Y ER AY Z,F AH M IH L Y ER AY Z D
2.4679436683654785,underrate,AH N D ER R EY T,AH N D ER R EY T IH D
2.4425032138824463,uniform,Y UW N AH F AO R M,Y UW N AH F AO R M D
2.3926095962524414,title,T AY T AH L,T AY T AH L D
2.365753412246704,underestimate,AH N D ER EH S T AH M EY T,AH N D ER EH S T AH M EY T IH D
2.3438868522644043,encourage,EH N K ER IH JH,EH N K ER IH JH D
2.28408145904541,motivate,M OW T AH V EY T,M OW T AH V EY T AH D
2.2643752098083496,network,N EH T W ER K,N EH T W ER K T
2.2350666522979736,pulverize,P AH L V ER AY Z,P AH L V ER AY Z D
2.2244338989257812,underwrite,AH N D ER R AY T,AH N D ER R OW T
