activation,lemma,present_phones,past_phones
2.4635767936706543,electrify,IH L EH K T R AH F AY,IH L EH K T R AH F AY D
2.202404737472534,autograph,AO T AH G R AE F,AO T AH G R AE F T
2.170149564743042,use,Y UW S,Y UW Z D
2.12675404548645,abolish,AH B AA L IH SH,AH B AA L IH SH T
2.014749765396118,author,AO TH ER,AO TH ER D
1.9973924160003662,unite,Y UW N AY T,Y UW N AY T IH D
1.952519416809082,unify,Y UW N AH F AY,Y UW N AH F AY D
1.950317144393921,predict,P R IH D IH K T,P R IH D IH K T IH D
1.916583776473999,yield,Y IY L D,Y IY L D IH D
1.9119007587432861,yell,Y EH L,Y EH L D
1.8617761135101318,pioneer,P AY AH N IH R,P AY AH N IH R D
1.8445765972137451,yawn,Y AO N,Y AO N D
1.8398463726043701,yoke,Y OW K,Y OW K T
1.8336732387542725,outstretch,AW T S T R EH CH,AW T S T R EH CH T
1.814697027206421,implicate,IH M P L IH K EY T,IH M P L IH K EY T IH D
1.727781057357788,tweet,T W IY T,T W IY T IH D
1.6320488452911377,authorize,AO TH ER AY Z,AO TH ER AY Z D
1.5345653295516968,euchre,Y UW K ER,Y UW K ER D
1.4431253671646118,replicate,R EH P L AH K EY T,R EH P L IH K EY T IH D
1.4360443353652954,yelp,Y EH L P,Y EH L P D
1.4060866832733154,extol,IH K S T OW L,IH K S T OW L D
1.3818047046661377,impose,IH M P OW Z,IH M P OW Z D
1.3716890811920166,nosedive,N OW Z D AY V,N OW Z D AY V D
1.335389256477356,install,IH N S T AO L,IH N S T AO L D
1.3327746391296387,outstrip,AW T S T R IH P,AW T S T R IH P T
1.3304522037506104,rescue,R EH S K Y UW,R EH S K Y UW D
1.3001961708068848,restyle,R IY S T AY L,R IY S T AY L D
1.292622447013855,outclass,AW T K L AE S,AW T K L AE S T
1.2378573417663574,syndicate,S IH N D IH K AH T,S IH N D IH K EY T IH D
1.2344679832458496,centralize,S EH N T R AH L AY Z,S EH N T R AH L AY Z D
1.2343324422836304,arrange,ER EY N JH,ER EY N JH D
1.2163686752319336,distil,D IH S T IH L,D IH S T IH L D
1.2087247371673584,enlarge,EH N L AA R JH,EH N L AA R JH D
1.2055718898773193,restructure,R IY S T R AH K CH ER,R IY S T R AH K CH ER D
1.2041966915130615,overthrow,OW V ER TH R OW,OW V ER TH R UW
1.1943669319152832,restore,R IH S T AO R,R IH S T AO R D
1.1311818361282349,confuse,K AH N F Y UW Z,K AH N F Y UW Z D
1.1200692653656006,interpolate,IH T ER P AH L EY T,IH T ER P AH L EY T IH D
1.1122897863388062,amortize,AE M ER T AY Z,AE M ER T AY Z D
1.1107418537139893,synchronize,S IH NG K R AH N AY Z,S IH NG K R AH N AY Z D
1.0665087699890137,typecast,T AY P K AE S T,T AY P K AE S T
1.0561189651489258,reappraise,R IY AH P R EY Z,R IY AH P R EY Z D
1.0334268808364868,overdo,OW V ER D UW,OW V ER D IH D
1.020829439163208,downvote,D AW N V OW T,D AW N V OW T IH D
0.9984750747680664,overdraw,OW V ER D R AO,OW V ER D R UW
0.9945428371429443,destroy,D IH S T R OY,D IH S T R OY D
0.9900636672973633,wound,W AW N D,W UW N D IH D
0.9620625972747803,stalemate,S T EY L M EY T,S T EY L M EY T IH D
0.9607187509536743,outsource,AW T S AO R S,AW T S AO R S T
0.938789963722229,tower,T AW ER,T AW ER D
0.9282859563827515,dislodge,D IH S L AA JH,D IH S L AA JH D
0.9147317409515381,choose,CH UW Z,CH OW Z
0.8448668718338013,expel,IH K S P EH L,IH K S P EH L D
0.8421329259872437,tone,T OW N,T OW N D
0.8055915832519531,rouse,R AW S,R AW Z D
0.7996382713317871,encourage,EH N K ER IH JH,EH N K ER IH JH D
0.7857074737548828,wiretap,W AY ER T AE P,W AY ER T AE P T
0.7702739238739014,weld,W EH L D,W EH L D IH D
0.7697322368621826,abate,AH B EY T,AH B EY T IH D
0.7648031711578369,tweak,T W IY K,T W IY K T
0.7523859739303589,view,V Y UW,V Y UW D
0.7486085891723633,abut,AH B AH T,AH B AH T IH D
0.707838773727417,blowdry,B L OW D R AY,B L OW D R AY D
0.7028539180755615,unionize,Y UW N Y AH N AY Z,Y UW N Y AH N AY Z D
0.6973044872283936,prioritize,P R AY AO R AH T AY Z,P R AY AO R AH T AY Z D
0.6476683616638184,toss,T AO S,T AO S T
0.6284322738647461,yank,Y AE NG K,Y AE NG K T
0.6255638599395752,sound,S AW N D,S AW N D IH D
0.6243059635162354,hound,HH AW N D,HH AW N D IH D
0.6156787872314453,hone,HH OW N,HH OW N D
0.6083693504333496,wind,W AY N D,W IH N D IH D
0.6043292284011841,haunt,HH AO N T,HH AO N T IH D
0.5889472961425781,hose,HH OW Z,HH OW Z D
0.5853381156921387,aspire,AH S P AY R,AH S P AY R D
0.5656510591506958,override,OW V ER R AY D,OW V ER R OW D
0.5576231479644775,meld,M EH L D,M EH L D AH D
0.5554044246673584,groin,G R OY N,G R OY N D
0.5541373491287231,whoop,W UW P,W UW P T
0.5515930652618408,nose,N OW Z,N OW Z D
0.5500326156616211,toy,T OY,T OY D
0.547804594039917,tame,T EY M,T EY M D
0.5417757034301758,rule,R UW L,R UW L D
0.5411796569824219,theorize,TH IY ER AY Z,TH IY ER AY Z D
0.5384660959243774,cloud,K L AW D,K L AW D IH D
0.5245203971862793,mellow,M EH L OW,M EH L OW D
0.523715615272522,team,T IY M,T IY M D
0.5156439542770386,tease,T IY Z,T IY Z D
0.5138863325119019,house,HH AW S,HH AW Z D
0.5013842582702637,treat,T R IY T,T R IY T IH D
0.49616333842277527,log,L AO G,L AO G D
0.4817292392253876,yearn,Y ER N,Y ER N D
0.4727305471897125,reside,R IH Z AY D,R IH Z AY D IH D
0.47208282351493835,vouch,V AW CH,V AW CH T
0.45476505160331726,shower,SH AW ER,SH AW ER D
0.45299533009529114,pose,P OW Z,P OW Z D
0.4402594268321991,tune,T UW N,T UW N D
0.4262009561061859,wean,W IY N,W IY N D
0.4249967038631439,pool,P UW L,P UW L D
0.42481234669685364,pound,P AW N D,P AW N D IH D
0.41912809014320374,poise,P OY Z,P OY Z D
0.4087023437023163,lunch,L AH N CH,L AH N CH T
0.370066374540329,tool,T UW L,T UW L D
0.3669550120830536,hunt,HH AH N T,HH AH N T AH D
0.36561742424964905,hold,HH OW L D,HH EH L D
0.3461708724498749,ransack,R AE N S AE K,R AE N S AE K T
0.3328875005245209,tread,T R EH D,T R AA D
0.3297012150287628,legalize,L IY G AH L AY Z,L IY G AH L AY Z D
0.3046064078807831,pause,P AO Z,P AO Z D
0.29986563324928284,wrong,R AO NG,R AO NG D
0.28378555178642273,outsize,AW T S AY Z,AW T S AY Z D
0.28051695227622986,wane,W EY N,W EY N D
0.2683458626270294,writhe,R IH TH,R IH TH D
0.26648256182670593,tell,T EH L,T OW L D
0.25187477469444275,tail,T EY L,T EY L D
0.2227630317211151,abet,AH B EH T,AH B EH T IH D
0.22124215960502625,weave,W IY V,W OW V
0.19567981362342834,trend,T R EH N D,T R EH N D IH D
0.120179682970047,round,R AW N D,R AW N D AH D
0.07658949494361877,plod,P L AA D,P L AA D IH D
0.023497432470321655,poop,P UW P,P UW P T
