latent_id,activation,lemma,present_phones,past_phones
0,0.4429238736629486,highlight,HH AY L AY T,HH AY L AY T IH D
0,0.4379991888999939,taste,T EY S T,T EY S T IH D
0,0.430149108171463,ironize,AY ER N AY Z,AY ER N AY Z D
0,0.42363691329956055,harangue,HH ER AE NG,HH ER AE NG D
0,0.4183359146118164,taint,T EY N T,T EY N T IH D
0,0.4173339903354645,hijack,HH AY JH AE K,HH AY JH AE K T
0,0.41430532932281494,gentrify,JH EH N T R IH F AY,JH EH N T R IH F AY D
0,0.39804819226264954,table,T EY B AH L,T EY B AH L D
0,0.39614418148994446,exit,EH G Z IH T,EH G Z AH T IH D
0,0.39592182636260986,title,T AY T AH L,T AY T AH L D
0,0.3939444422721863,indite,IH N D AY T,IH N D AY T IH D
0,0.38975057005882263,hint,HH IH N T,HH IH N T AH D
0,0.3827846348285675,ignite,IH G N AY T,IH G N AY T IH D
0,0.3814738392829895,hoist,HH OY S T,HH OY S T AH D
0,0.3794630467891693,herd,HH ER D,HH ER D IH D
0,0.37556007504463196,haunt,HH AO N T,HH AO N T IH D
0,0.3732350170612335,test,T EH S T,T EH S T IH D
0,0.37066206336021423,output,AW T P UH T,AW T P UH T
0,0.370367169380188,outdate,AW T D EY T,AW T D EY T IH D
0,0.3676992654800415,authorize,AO TH ER AY Z,AO TH ER AY Z D
0,0.3671986758708954,harass,HH ER AE S,HH ER AE S T
0,0.3621995747089386,huddle,HH AH D AH L,HH AH D AH L D
0,0.35837146639823914,outsize,AW T S AY Z,AW T S AY Z D
0,0.35449814796447754,incite,IH N S AY T,IH N S AY T IH D
0,0.3538209795951843,treat,T R IY T,T R IY T IH D
0,0.35198649764060974,empty,EH M P T IY,EH M P T IY D
0,0.3516281545162201,hobble,HH AA B AH L,HH AA B AH L D
0,0.35160908102989197,unite,Y UW N AY T,Y UW N AY T IH D
0,0.3515874445438385,tiptoe,T IH P T OW,T IH P T OW D
0,0.3511101007461548,tint,T IH N T,T IH N T IH D
0,0.34985843300819397,hurt,HH ER T,HH ER T
0,0.34785398840904236,monogram,M AA N AH G R AE M,M AA N AH G R AE M D
0,0.3465278148651123,hide,HH AY D,HH IH D
0,0.34446287155151367,trigger,T R IH G ER,T R IH G ER D
0,0.34381434321403503,outwit,AW T W IH T,AW T W IH T IH D
0,0.3429083824157715,host,HH OW S T,HH OW S T IH D
0,0.34279900789260864,outfit,AW T F IH T,AW T F IH T IH D
0,0.34201937913894653,text,T EH K S T,T EH K S T IH D
0,0.3411472737789154,tramp,T R AE M P,T R AE M P T
0,0.3403260111808777,trot,T R AA T,T R AA T IH D
0,0.33857211470603943,gesture,JH EH S CH ER,JH EH S CH ER D
0,0.33844485878944397,taunt,T AO N T,T AO N T IH D
0,0.33733633160591125,heckle,HH EH K AH L,HH EH K AH L D
0,0.33588090538978577,hate,HH EY T,HH EY T AH D
0,0.33469775319099426,hood,HH UH D,HH UH D IH D
0,0.33449122309684753,hunt,HH AH N T,HH AH N T AH D
0,0.333657830953598,worship,W ER SH AH P,W ER SH AH P T
0,0.3335520625114441,circuit,S ER K AH T,S ER K AH T IH D
0,0.3327781856060028,tie,T AY,T AY D
0,0.33123353123664856,burden,B ER D AH N,B ER D AH N D
0,0.3295566141605377,outset,AW T S EH T,AW T S EH T
0,0.32588741183280945,jacket,JH AE K AH T,JH AE K AH T IH D
0,0.32349953055381775,graft,G R AE F T,G R AE F T IH D
0,0.3213970363140106,gloat,G L OW T,G L OW T IH D
0,0.32119694352149963,input,IH N P UH T,IH N P UH T
0,0.3209496736526489,hunch,HH AH N CH,HH AH N CH T
0,0.3197195529937744,waste,W EY S T,W EY S T IH D
0,0.3193565309047699,hitchhike,HH IH CH HH AY K,HH IH CH HH AY K T
0,0.31913599371910095,hustle,HH AH S AH L,HH AH S AH L D
