lemma,past,present_phones,past_phones
supercharge,supercharged,S UW P ER CH AA R JH,S UW P ER CH AA R JH D
tuft,tufted,T AH F T,T AH F T IH D
plague,plagued,P L EY G,P L EY G D
clam,clammed,K L AE M,K L AE M D
title,titled,T AY T AH L,T AY T AH L D
interlink,interlinked,IH N T ER L IH NG K,IH N T ER L IH NG K T
preoccupy,preoccupied,P R IY AA K Y AH P AY,P R IY AA K Y AH P AY D
heat,heated,HH IY T,HH IY T AH D
shunt,shunted,SH AH N T,SH AH N T IH D
prepare,prepared,P R IY P EH R,P R IY P EH R D
mast,masted,M AE S T,M AE S T AH D
plunge,plunged,P L AH N JH,P L AH N JH D
overdo,overdid,OW V ER D UW,OW V ER D IH D
anchor,anchored,AE NG K ER,AE NG K ER D
clad,clad,K L AE D,K L AE D
swoop,swooped,S W UW P,S W UW P T
bankroll,bankrolled,B AE NG K R OW L,B AE NG K R OW L D
drink,drank,D R IH NG K,D R AE NG K
barricade,barricaded,B AE R AH K EY D,B AE R AH K EY D IH D
recapture,recaptured,R IY K AE P CH ER,R IY K AE P CH ER D
people,peopled,P IY P AH L,P IY P AH L D
cloak,cloaked,K L OW K,K L OW K T
bridge,bridged,B R IH JH,B R IH JH D
determine,determined,D AH T ER M AH N,D IH T ER M AH N D
declassify,declassified,D IH K L AE S AH F AY,D IH K L AE S AH F AY D
clench,clenched,K L EH N CH,K L EH N CH T
doze,dozed,D OW Z,D OW Z D
rebroadcast,rebroadcast,R IY B R AO D K AE S T,R IY B R AO D K AE S T
firm,firmed,F ER M,F ER M D
exhibit,exhibited,IH G Z IH B IH T,IH G Z IH B AH T AH D
plow,plowed,P L AW,P L AW D
reminisce,reminisced,R EH M AH N IH S,R EH M AH N IH S T
thank,thanked,TH AE NG K,TH AE NG K T
sprinkle,sprinkled,S P R IH NG K AH L,S P R IH NG K AH L D
dun,dunned,D AH N,D AH N D
proofread,proofread,P R UW F R IY D,P R UW F R IY D
digitize,digitized,D IH JH AH T AY Z,D IH JH AH T AY Z D
shelve,shelved,SH EH L V,SH EH L V D
subjugate,subjugated,S AH B JH AH G EY T,S AH B JH AH G EY T IH D
live,lived,L AY V,L IH V D
amount,amounted,AH M AW N T,AH M AW N T IH D
burglarize,burglarized,B ER G L ER AY Z,B ER G L ER AY Z D
cake,caked,K EY K,K EY K T
idealize,idealized,AY D IY L AY Z,AY D IY AH L AY Z D
bath,bathed,B AE TH,B EY DH D
evolve,evolved,IH V AA L V,IH V AA L V D
pressurize,pressurized,P R EH SH ER AY Z,P R EH SH ER AY Z D
piggyback,piggybacked,P IH G IY B AE K,P IH G IY B AE K T
downvote,downvoted,D AW N V OW T,D AW N V OW T IH D
overeat,overate,OW V ER IY T,OW V ER EY T
disembody,disembodied,D IH S IH B AA D IY,D IH S IH B AA D IY D
tug,tugged,T AH G,T AH G D
mandate,mandated,M AE N D EY T,M AE N D EY T IH D
discount,discounted,D IH S K AW N T,D IH S K AW N T IH D
bless,blest,B L EH S,B L EH S T
misuse,misused,M IH S Y UW Z,M IH S Y UW Z D
howl,howled,HH AW L,HH AW L D
galvanize,galvanized,G AE L V AH N AY Z,G AE L V AH N AY Z D
subside,subsided,S AH B S AY D,S AH B S AY D IH D
persuade,persuaded,P ER S W EY D,P ER S W EY D IH D
rib,ribbed,R IH B,R IH B D
trim,trimmed,T R IH M,T R IH M D
ferry,ferried,F EH R IY,F EH R IY D
stage,staged,S T EY JH,S T EY JH D
plead,pleaded,P L IY D,P L IY D IH D
cram,crammed,K R AE M,K R AE M D
addle,addled,AE D AH L,AE D AH L D
goof,goofed,G UW F,G UW F T
clasp,clasped,K L AE S P,K L AE S P T
dedicate,dedicated,D EH D AH K EY T,D EH D AH K EY T AH D
load,loaded,L OW D,L OW D IH D
mesmerize,mesmerized,M EH Z M ER AY Z,M EH Z M ER AY Z D
droop,drooped,D R UW P,D R UW P T
disengage,disengaged,D IH S IH N G EY JH,D IH S IH N G EY JH D
recuperate,recuperated,R IH K UW P ER EY T,R IH K UW P ER EY T IH D
retreat,retreated,R IY T R IY T,R IY T R IY T AH D
mate,mated,M EY T,M EY T IH D
rubberize,rubberized,R AH B ER AY Z,R AH B ER AY Z D
letter,lettered,L EH T ER,L EH T ER D
ski,skied,S K IY,S K IY D
glimpse,glimpsed,G L IH M P S,G L IH M P S T
rise,rose,R AY Z,R OW Z
pervert,perverted,P ER V ER T,P ER V ER T IH D
picture,pictured,P IH K CH ER,P IH K CH ER D
popularize,popularized,P AA P Y AH L ER AY Z,P AA P Y AH L ER AY Z D
immolate,immolated,IH M AH L EY T,IH M AH L EY T AH D
sling,slung,S L IH NG,S L AH NG
pollute,polluted,P AH L UW T,P AH L UW T IH D
prick,pricked,P R IH K,P R IH K T
blot,blotted,B L AA T,B L AA T AH D
incise,incised,IH N S AY Z,IH N S AY Z D
apprentice,apprenticed,AH P R EH N T AH S,AH P R EH N T AH S T
precast,precast,P R IY K AE S T,P R IY K AE S T
access,accessed,AE K S EH S,AE K S EH S T
arbitrate,arbitrated,AA R B AH T R EY T,AA R B AH T R EY T IH D
overfeed,overfed,OW V ER F IY D,OW V ER F EH D
flummox,flummoxed,F L AH M AO K S,F L AH M AO K S T
populate,populated,P AA P Y AH L EY T,P AA P Y AH L EY T IH D
justify,justified,JH AH S T AH F AY,JH AH S T AH F AY D
browbeat,browbeat,B R AW B IY T,B R AW B IY T
fangle,fangled,F AE NG G AH L,F AE NG G AH L D
scoop,scooped,S K UW P,S K UW P T
reproduce,reproduced,R IY P R AH D UW S,R IY P R AH D UW S T
cleave,cleft,K L IY V,K L EH F T
bag,bagged,B AE G,B AE G D
liquefy,liquefied,L IH K W AH F AY,L IH K W AH F AY D
loot,looted,L UW T,L UW T AH D
input,input,IH N P UH T,IH N P UH T
school,schooled,S K UW L,S K UW L D
damage,damaged,D AE M AH JH,D AE M AH JH D
seclude,secluded,S AH K L UW D,S IH K L UW D IH D
enthuse,enthused,IH N TH UW Z,IH N TH UW Z D
broach,broached,B R OW CH,B R OW CH T
recount,recounted,R IH K AW N T,R IH K AW N T IH D
scrounge,scrounged,S K R AW N JH,S K R AW N JH D
marke,marked,M AA R K,M AA R K T
dwell,dwelt,D W EH L,D W EH L T
bind,bound,B AY N D,B AW N D
argue,argued,AA R G Y UW,AA R G Y UW D
troop,trooped,T R UW P,T R UW P T
equalize,equalized,IY K W AH L AY Z,IY K W AH L AY Z D
pee,peed,P IY,P IY D
eye,eyed,AY,AY D
accustom,accustomed,AH K AH S T AH M,AH K AH S T AH M D
saturate,saturated,S AE CH ER EY T,S AE CH ER EY T IH D
buy,bought,B AY,B AA T
solidify,solidified,S AH L IH D AH F AY,S AH L IH D AH F AY D
push,pushed,P UH SH,P UH SH T
detour,detoured,D IH T UH R,D IY T UH R D
mollify,mollified,M AA L AH F AY,M AA L AH F AY D
intern,interned,IH N T ER N,IH N T ER N D
put,put,P UH T,P UH T
slot,slotted,S L AA T,S L AA T IH D
validate,validated,V AE L AH D EY T,V AE L AH D EY T IH D
specify,specified,S P EH S AH F AY,S P EH S AH F AY D
gesture,gestured,JH EH S CH ER,JH EH S CH ER D
bottle,bottled,B AA T AH L,B AA T AH L D
inure,inured,IH N Y UH R,IH N Y UH R D
whet,whetted,W EH T,W EH T IH D
mop,mopped,M AA P,M AA P T
revive,revived,R IH V AY V,R IH V AY V D
soak,soaked,S OW K,S OW K T
proscribe,proscribed,P R OW S K R AY B,P R OW S K R AY B D
come,came,K AH M,K EY M
emigrate,emigrated,EH M AH G R EY T,EH M AH G R EY T IH D
rebid,rebid,R IY B IH D,R IY B IH D
affront,affronted,AH F R AH N T,AH F R AH N T IH D
weep,wept,W IY P,W EH P T
abhor,abhorred,AE B HH AO R,AH B HH AO R D
blink,blinked,B L IH NG K,B L IH NG K T
interrupt,interrupted,IH N T ER AH P T,IH N T ER AH P T IH D
peak,peaked,P IY K,P IY K T
devalue,devalued,D IH V AE L Y UW,D IH V AE L Y UW D
dishevel,disheveled,D IH SH EH V AH L,D IH SH EH V AH L D
tire,tired,T AY ER,T AY ER D
reconcile,reconciled,R EH K AH N S AY L,R EH K AH N S AY L D
avoid,avoided,AH V OY D,AH V OY D IH D
conceive,conceived,K AH N S IY V,K AH N S IY V D
bang,banged,B AE NG,B AE NG D
embed,embedded,IH M B EH D,EH M B EH D IH D
button,buttoned,B AH T AH N,B AH T AH N D
propagate,propagated,P R AA P AH G EY T,P R AA P AH G EY T IH D
exchange,exchanged,IH K S CH EY N JH,IH K S CH EY N JH D
prong,pronged,P R AO NG,P R AO NG D
crystallize,crystallized,K R IH S T AH L AY Z,K R IH S T AH L AY Z D
smell,smelled,S M EH L,S M EH L D
sleeve,sleeved,S L IY V,S L IY V D
